"","x"
"1",3.53333333333333
"2",2.53333333333333
"3",3.26666666666667
"6",3.8
"5",4.33333333333333
"4",3.46666666666667
"10",3.4
"7",4.33333333333333
"8",2.46666666666667
"13",1.93333333333333
"11",4
"15",4.6
"16",4
"19",3.4
"18",3.66666666666667
"17",3.46666666666667
"24",3.4
"21",2.8
"23",3.66666666666667
"22",4.13333333333333
"20",3.4
"29",3.8
"27",4.4
"25",2.6
"28",2.4
"34",3
"31",2.4
"32",3.93333333333333
"33",4.33333333333333
"35",3.93333333333333
"37",4.13333333333333
"38",4.53333333333333
"41",4
"44",3.8
"40",4.4
"42",4.93333333333333
"46",3.13333333333333
"57",3.6
"55",4.2
"56",4.06666666666667
"59",3.53333333333333
"49",3.93333333333333
"58",2.46666666666667
"53",3.33333333333333
"51",3.6
"48",3.13333333333333
"61",3.73333333333333
"54",3.66666666666667
"62",3.53333333333333
"65",3.66666666666667
