sugar_containing,sugar_free,
-4.666666667,-13,
4.333333333,4,
3.333333333,6.333333333,
-1.333333333,6.666666667,
2.333333333,0.333333333,
26.33333333,30.66666667,
-0.666666667,0.333333333,
-12,30.66666667,
-23.66666667,22.33333333,
-7.11E-15,1.333333333,
-6,4.666666667,
-2.333333333,5.333333333,
0,19.66666667,
-2.666666667,16,
-6.333333333,4,
1.666666667,11.66666667,
-3,6.666666667,
-4,5,
-8,8.333333333,
1.666666667,0.333333333,
2,3.666666667,
-7.333333333,-13,
-3,-0.333333333,
-5.333333333,-6.666666667,
-7.666666667,4.333333333,
-20.33333333,8.333333333,
-9.333333333,-5.333333333,
-7.666666667,13,
10.66666667,6.333333333,
-6,-3.666666667,
-8.666666667,4.333333333,
5,-0.666666667,
-9.666666667,9,
-9.666666667,-1.333333333,
-4.666666667,2,
-7.666666667,7,
10.66666667,17.33333333,
20.33333333,17.66666667,
0,2.333333333,
2.666666667,11.33333333,
-5.333333333,-5.333333333,
0,-6.333333333,
-16.33333333,-5.333333333,
5.333333333,3.333333333,
-3.666666667,2.333333333,
-10,10.66666667,
-11,1.666666667,
19.33333333,16.33333333,
2.333333333,16.66666667,
-1,-5.333333333,
